,0
failure_severity,0.077969864
retry_exhaustion,0.07724231
customer_reliability,0.061041273
failure_reason_fraud_flag,0.047983587
retry_count,0.045536496
is_high_value,0.03431877
payment_method_upi,0.02794213
previous_success_rate,0.026752178
failure_reason_card_expired,0.02570674
failure_reason_bank_declined,0.025023576
tenure_bucket,0.023538966
customer_tenure_days,0.021737786
payment_method_netbanking,0.021200348
subscription_type_starter,0.020131866
is_fresh_failure,0.01951964
engagement_score,0.01883312
recency_score,0.018726094
payment_method_wallet,0.018122988
failure_reason_network_error,0.017574176
is_business_hours,0.017376894
failure_reason_technical_error,0.016623689
support_tickets_last_30d,0.016384495
time_since_failure_hours,0.01592532
historical_recovery_rate,0.014837741
industry_edtech,0.013769574
days_since_last_login,0.01353124
nps_score,0.01351202
industry_gaming,0.013504996
hour_of_day,0.013384802
industry_media,0.013157785
industry_saas,0.01301911
region_south,0.013010336
industry_fintech,0.012941597
failure_reason_limit_exceeded,0.012705561
customer_ltv,0.012461122
payment_method_debit_card,0.012244352
region_west,0.0121834865
region_north,0.012097774
log_amount,0.011951891
amount,0.01179487
subscription_type_professional,0.011776786
failure_reason_insufficient_funds,0.011662297
day_of_week,0.011334211
device_type_tablet,0.011320938
is_weekend,0.010047675
region_metro,0.009855514
industry_healthtech,0.009602511
device_type_mobile,0.009079481
amount_tier,0.0
subscription_type_enterprise,0.0
